name,year,total_usage,peak_min,prev_max,post_max,is_peak
Nathan,1913,578,212,,922,false
Nathan,1914,810,325,212,922,false
Nathan,1915,890,544,325,817,false
Nathan,1916,876,578,544,779,false
Nathan,1917,843,779,578,721,true
Nathan,1918,922,719,810,721,false
Nathan,1919,817,719,890,718,false
Nathan,1920,779,718,890,634,false
Nathan,1921,719,634,890,631,false
Nathan,1922,721,592,922,631,false
Nathan,1923,718,592,922,604,false
Nathan,1924,634,592,922,505,false
Nathan,1925,592,499,922,505,false
Nathan,1926,631,471,922,505,false
Nathan,1927,604,471,817,443,false
Nathan,1928,499,420,779,443,false
Nathan,1929,471,420,721,432,false
Nathan,1930,505,384,721,487,false
Nathan,1931,420,384,718,487,false
Nathan,1932,443,384,634,487,false
Nathan,1933,384,384,631,487,false
Nathan,1934,430,384,631,487,false
Nathan,1935,432,384,604,555,false
Nathan,1936,421,384,505,555,false
Nathan,1937,401,401,505,555,false
Nathan,1938,487,401,505,555,false
Nathan,1939,429,401,443,587,false
Nathan,1940,450,401,443,587,false
Nathan,1941,480,429,432,635,false
Nathan,1942,487,429,487,716,false
Nathan,1943,555,450,487,836,false
Nathan,1944,452,452,487,836,false
Nathan,1945,457,452,487,836,false
Nathan,1946,519,452,487,934,false
Nathan,1947,587,452,555,934,false
Nathan,1948,579,457,555,1071,false
Nathan,1949,635,519,555,1210,false
Nathan,1950,716,579,555,1222,false
Nathan,1951,836,579,587,1353,false
Nathan,1952,820,635,587,1616,false
Nathan,1953,796,716,635,1616,false
Nathan,1954,934,796,716,1616,false
Nathan,1955,925,796,836,1616,false
Nathan,1956,1071,796,836,1616,false
Nathan,1957,1210,925,836,1528,false
Nathan,1958,1222,925,934,1528,false
Nathan,1959,1353,1071,934,1528,false
Nathan,1960,1616,1210,1071,1642,false
Nathan,1961,1478,1222,1210,1909,false
Nathan,1962,1524,1353,1222,2548,false
Nathan,1963,1528,1404,1353,3050,false
Nathan,1964,1486,1404,1616,3522,false
Nathan,1965,1408,1404,1616,4749,false
Nathan,1966,1404,1404,1616,5845,false
Nathan,1967,1420,1404,1616,7064,false
Nathan,1968,1642,1404,1616,8616,false
Nathan,1969,1909,1404,1528,9894,false
Nathan,1970,2548,1420,1528,9899,false
Nathan,1971,3050,1642,1528,10757,false
Nathan,1972,3522,1909,1642,11173,false
Nathan,1973,4749,2548,1909,11266,false
Nathan,1974,5845,3050,2548,11266,false
Nathan,1975,7064,3522,3050,11266,false
Nathan,1976,8616,4749,3522,11266,false
Nathan,1977,9894,5845,4749,11266,false
Nathan,1978,9899,7064,5845,10814,false
Nathan,1979,10757,8616,7064,10683,false
Nathan,1980,11173,9894,8616,10683,false
Nathan,1981,11266,9899,9894,10919,false
Nathan,1982,10814,10589,9899,10936,false
Nathan,1983,10589,10003,10757,10936,false
Nathan,1984,10637,9927,11173,10936,false
Nathan,1985,10683,9927,11266,10936,false
Nathan,1986,10003,9927,11266,10936,false
Nathan,1987,9927,9927,11266,10494,false
Nathan,1988,10160,9927,11266,10393,false
Nathan,1989,10919,9927,11266,10441,false
Nathan,1990,10936,9927,10814,11584,false
Nathan,1991,10494,10156,10683,12534,false
Nathan,1992,10156,10156,10683,13036,false
Nathan,1993,10192,10156,10919,13036,false
Nathan,1994,10393,10156,10936,13226,false
Nathan,1995,10304,10156,10936,13659,false
Nathan,1996,10288,10192,10936,14665,false
Nathan,1997,10441,10288,10936,14665,false
Nathan,1998,11584,10288,10936,14665,false
Nathan,1999,12534,10288,10494,14665,false
Nathan,2000,13036,10441,10393,14665,false
Nathan,2001,12645,11584,10441,14362,false
Nathan,2002,13226,12534,11584,14273,false
Nathan,2003,13659,12645,12534,13589,false
Nathan,2004,14665,12645,13036,13253,false
Nathan,2005,14362,13226,13036,12119,true
Nathan,2006,14273,12119,13226,11372,false
Nathan,2007,13589,11372,13659,10501,false
Nathan,2008,13253,10501,14665,10417,false
Nathan,2009,12119,10417,14665,9709,false
Nathan,2010,11372,9709,14665,8967,false
Nathan,2011,10501,8967,14665,8577,false
Nathan,2012,10417,8577,14665,7960,false
Nathan,2013,9709,7960,14362,7390,false
Nathan,2014,8967,7390,14273,,false
Nathan,2015,8577,7390,13589,,false
Nathan,2016,7960,7390,13253,,false
Nathan,2017,7390,7390,12119,,false
Randy,1934,6,6,,344,false
Randy,1935,13,6,,562,false
Randy,1936,13,6,,776,false
Randy,1937,34,6,,1086,false
Randy,1938,49,13,6,1667,false
Randy,1939,80,13,13,2543,false
Randy,1940,136,34,13,3238,false
Randy,1941,151,49,34,3729,false
Randy,1942,344,80,49,4481,false
Randy,1943,562,136,80,6204,false
Randy,1944,776,151,136,8848,false
Randy,1945,1086,344,151,10817,false
Randy,1946,1667,562,344,12774,false
Randy,1947,2543,776,562,15101,false
Randy,1948,3238,1086,776,16693,false
Randy,1949,3729,1667,1086,16693,false
Randy,1950,4481,2543,1667,16693,false
Randy,1951,6204,3238,2543,16693,false
Randy,1952,8848,3729,3238,16693,false
Randy,1953,10817,4481,3729,16558,false
Randy,1954,12774,6204,4481,15257,false
Randy,1955,15101,8848,6204,15151,false
Randy,1956,16693,10817,8848,14318,false
Randy,1957,16558,12774,10817,12699,true
Randy,1958,15257,12699,12774,11942,false
Randy,1959,15151,11942,15101,10588,false
Randy,1960,14318,10588,16693,10356,false
Randy,1961,12699,10356,16693,8931,false
Randy,1962,11942,8931,16693,7807,false
Randy,1963,10588,7807,16693,6831,false
Randy,1964,10356,6831,16693,5729,false
Randy,1965,8931,5729,16558,5290,false
Randy,1966,7807,5290,15257,5044,false
Randy,1967,6831,5044,15151,4369,false
Randy,1968,5729,4369,14318,3744,false
Randy,1969,5290,3744,12699,3401,false
Randy,1970,5044,3355,11942,3401,false
Randy,1971,4369,3348,10588,3423,false
Randy,1972,3744,3348,10356,3423,false
Randy,1973,3355,3326,8931,3423,false
Randy,1974,3348,3326,7807,3423,false
Randy,1975,3389,3222,6831,3423,false
Randy,1976,3326,3222,5729,3402,false
Randy,1977,3401,3222,5290,3336,false
Randy,1978,3222,3222,5044,3237,false
Randy,1979,3423,3222,4369,2933,false
Randy,1980,3402,2933,3744,2911,false
Randy,1981,3336,2911,3401,2891,false
Randy,1982,3237,2891,3401,2789,false
Randy,1983,2933,2733,3423,2789,false
Randy,1984,2911,2733,3423,2716,false
Randy,1985,2891,2716,3423,2607,false
Randy,1986,2733,2607,3423,2481,false
Randy,1987,2789,2481,3423,2152,false
Randy,1988,2716,2152,3402,2002,false
Randy,1989,2607,2002,3336,1697,false
Randy,1990,2481,1697,3237,1638,false
